Test Case ID,Module Name,Feature Name,Test Scenario,Preconditions,Test Steps,Expected Result,Actual Result,Test Data,Priority,Severity,Test Type,Status,Browser/Device Compatibility,Remarks
TC_CART_228,Cart Module,Remove Product,Verify removing item - Simulate page refresh during action,In Cart,"1. Click trash icon
- Hit F5 mid-process",State is recovered or fails safely,Pending,N/A,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_CART_229,Cart Module,Cart Persistence,Verify cart after reload,Item in Cart,1. Refresh page,Item remains in cart,Pending,N/A,High,Major,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_CART_230,Cart Module,Cart Persistence,Verify cart after reload - Test max allowed string length,Item in Cart,"1. Refresh page
- Input string of 255 chars",System handles limit gracefully,Pending,N/A,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_CART_231,Cart Module,Cart Persistence,Verify cart after reload - Test empty required fields,Item in Cart,"1. Refresh page
- Submit without required data",Validation errors highlight fields,Pending,N/A,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_CART_232,Cart Module,Cart Persistence,Verify cart after reload - Test on Firefox,Item in Cart,"1. Refresh page
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,N/A,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_CART_233,Cart Module,Cart Persistence,Verify cart after reload - Test on small viewport (320px),Item in Cart,"1. Refresh page
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,N/A,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_CART_234,Cart Module,Cart Persistence,Verify cart after reload - Simulate page refresh during action,Item in Cart,"1. Refresh page
- Hit F5 mid-process",State is recovered or fails safely,Pending,N/A,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_CART_235,Cart Module,Save for Later,Verify move to SFL,In Cart,1. Click Save for Later,Item moves to SFL section,Pending,N/A,Medium,Minor,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_CART_236,Cart Module,Save for Later,Verify move to SFL - Test max allowed string length,In Cart,"1. Click Save for Later
- Input string of 255 chars",System handles limit gracefully,Pending,N/A,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_CART_237,Cart Module,Save for Later,Verify move to SFL - Test empty required fields,In Cart,"1. Click Save for Later
- Submit without required data",Validation errors highlight fields,Pending,N/A,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_CART_238,Cart Module,Save for Later,Verify move to SFL - Test on Firefox,In Cart,"1. Click Save for Later
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,N/A,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_CART_239,Cart Module,Save for Later,Verify move to SFL - Test on small viewport (320px),In Cart,"1. Click Save for Later
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,N/A,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_CART_240,Cart Module,Save for Later,Verify move to SFL - Simulate page refresh during action,In Cart,"1. Click Save for Later
- Hit F5 mid-process",State is recovered or fails safely,Pending,N/A,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_WISH_241,Wishlist,Add Wishlist,Verify adding from PLP,Logged in,1. Click heart icon,"Added to wishlist, icon active",Pending,N/A,Medium,Minor,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_WISH_242,Wishlist,Add Wishlist,Verify adding from PLP - Test max allowed string length,Logged in,"1. Click heart icon
- Input string of 255 chars",System handles limit gracefully,Pending,N/A,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_WISH_243,Wishlist,Add Wishlist,Verify adding from PLP - Test empty required fields,Logged in,"1. Click heart icon
- Submit without required data",Validation errors highlight fields,Pending,N/A,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_WISH_244,Wishlist,Add Wishlist,Verify adding from PLP - Test on Firefox,Logged in,"1. Click heart icon
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,N/A,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_WISH_245,Wishlist,Add Wishlist,Verify adding from PLP - Test on small viewport (320px),Logged in,"1. Click heart icon
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,N/A,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_WISH_246,Wishlist,Add Wishlist,Verify adding from PLP - Simulate page refresh during action,Logged in,"1. Click heart icon
- Hit F5 mid-process",State is recovered or fails safely,Pending,N/A,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_WISH_247,Wishlist,Wishlist Persistence,Verify wishlist on re-login,Item in Wishlist,"1. Logout
2. Login",Item still in wishlist,Pending,N/A,Medium,Major,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_WISH_248,Wishlist,Wishlist Persistence,Verify wishlist on re-login - Test max allowed string length,Item in Wishlist,"1. Logout
2. Login
- Input string of 255 chars",System handles limit gracefully,Pending,N/A,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_WISH_249,Wishlist,Wishlist Persistence,Verify wishlist on re-login - Test empty required fields,Item in Wishlist,"1. Logout
2. Login
- Submit without required data",Validation errors highlight fields,Pending,N/A,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_WISH_250,Wishlist,Wishlist Persistence,Verify wishlist on re-login - Test on Firefox,Item in Wishlist,"1. Logout
2. Login
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,N/A,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_WISH_251,Wishlist,Wishlist Persistence,Verify wishlist on re-login - Test on small viewport (320px),Item in Wishlist,"1. Logout
2. Login
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,N/A,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_WISH_252,Wishlist,Wishlist Persistence,Verify wishlist on re-login - Simulate page refresh during action,Item in Wishlist,"1. Logout
2. Login
- Hit F5 mid-process",State is recovered or fails safely,Pending,N/A,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_CHKT_253,Checkout Module,Address,Verify adding new address,In Checkout,"1. Fill address form
2. Save",Address saved and selected,Pending,Valid Address,High,Critical,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_CHKT_254,Checkout Module,Address,Verify adding new address - Test max allowed string length,In Checkout,"1. Fill address form
2. Save
- Input string of 255 chars",System handles limit gracefully,Pending,Valid Address,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_CHKT_255,Checkout Module,Address,Verify adding new address - Test empty required fields,In Checkout,"1. Fill address form
2. Save
- Submit without required data",Validation errors highlight fields,Pending,Valid Address,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_CHKT_256,Checkout Module,Address,Verify adding new address - Test on Firefox,In Checkout,"1. Fill address form
2. Save
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,Valid Address,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_CHKT_257,Checkout Module,Address,Verify adding new address - Test on small viewport (320px),In Checkout,"1. Fill address form
2. Save
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,Valid Address,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_CHKT_258,Checkout Module,Address,Verify adding new address - Simulate page refresh during action,In Checkout,"1. Fill address form
2. Save
- Hit F5 mid-process",State is recovered or fails safely,Pending,Valid Address,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_CHKT_259,Checkout Module,Shipping Method,Verify shipping fee addition,In Checkout,1. Select Express,Fee added to total,Pending,Express option,High,Critical,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_CHKT_260,Checkout Module,Shipping Method,Verify shipping fee addition - Test max allowed string length,In Checkout,"1. Select Express
- Input string of 255 chars",System handles limit gracefully,Pending,Express option,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_CHKT_261,Checkout Module,Shipping Method,Verify shipping fee addition - Test empty required fields,In Checkout,"1. Select Express
- Submit without required data",Validation errors highlight fields,Pending,Express option,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_CHKT_262,Checkout Module,Shipping Method,Verify shipping fee addition - Test on Firefox,In Checkout,"1. Select Express
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,Express option,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_CHKT_263,Checkout Module,Shipping Method,Verify shipping fee addition - Test on small viewport (320px),In Checkout,"1. Select Express
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,Express option,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_CHKT_264,Checkout Module,Shipping Method,Verify shipping fee addition - Simulate page refresh during action,In Checkout,"1. Select Express
- Hit F5 mid-process",State is recovered or fails safely,Pending,Express option,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_CHKT_265,Checkout Module,Coupon Code,Verify valid coupon,In Checkout,"1. Enter valid code
2. Apply",Discount applied to total,Pending,SAVE10,High,Major,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_CHKT_266,Checkout Module,Coupon Code,Verify valid coupon - Test max allowed string length,In Checkout,"1. Enter valid code
2. Apply
- Input string of 255 chars",System handles limit gracefully,Pending,SAVE10,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_CHKT_267,Checkout Module,Coupon Code,Verify valid coupon - Test empty required fields,In Checkout,"1. Enter valid code
2. Apply
- Submit without required data",Validation errors highlight fields,Pending,SAVE10,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_CHKT_268,Checkout Module,Coupon Code,Verify valid coupon - Test on Firefox,In Checkout,"1. Enter valid code
2. Apply
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,SAVE10,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_CHKT_269,Checkout Module,Coupon Code,Verify valid coupon - Test on small viewport (320px),In Checkout,"1. Enter valid code
2. Apply
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,SAVE10,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_CHKT_270,Checkout Module,Coupon Code,Verify valid coupon - Simulate page refresh during action,In Checkout,"1. Enter valid code
2. Apply
- Hit F5 mid-process",State is recovered or fails safely,Pending,SAVE10,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_CHKT_271,Checkout Module,Coupon Code,Verify expired coupon,In Checkout,"1. Enter expired code
2. Apply",Error: Coupon expired,Pending,OLD10,Medium,Major,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_CHKT_272,Checkout Module,Coupon Code,Verify expired coupon - Test max allowed string length,In Checkout,"1. Enter expired code
2. Apply
- Input string of 255 chars",System handles limit gracefully,Pending,OLD10,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_CHKT_273,Checkout Module,Coupon Code,Verify expired coupon - Test empty required fields,In Checkout,"1. Enter expired code
2. Apply
- Submit without required data",Validation errors highlight fields,Pending,OLD10,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_CHKT_274,Checkout Module,Coupon Code,Verify expired coupon - Test on Firefox,In Checkout,"1. Enter expired code
2. Apply
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,OLD10,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_CHKT_275,Checkout Module,Coupon Code,Verify expired coupon - Test on small viewport (320px),In Checkout,"1. Enter expired code
2. Apply
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,OLD10,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_CHKT_276,Checkout Module,Coupon Code,Verify expired coupon - Simulate page refresh during action,In Checkout,"1. Enter expired code
2. Apply
- Hit F5 mid-process",State is recovered or fails safely,Pending,OLD10,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_CHKT_277,Checkout Module,Tax Calculation,Verify tax by region,In Checkout,1. Select CA address,CA Tax rate applied,Pending,CA Address,High,Critical,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_CHKT_278,Checkout Module,Tax Calculation,Verify tax by region - Test max allowed string length,In Checkout,"1. Select CA address
- Input string of 255 chars",System handles limit gracefully,Pending,CA Address,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_CHKT_279,Checkout Module,Tax Calculation,Verify tax by region - Test empty required fields,In Checkout,"1. Select CA address
- Submit without required data",Validation errors highlight fields,Pending,CA Address,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_CHKT_280,Checkout Module,Tax Calculation,Verify tax by region - Test on Firefox,In Checkout,"1. Select CA address
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,CA Address,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_CHKT_281,Checkout Module,Tax Calculation,Verify tax by region - Test on small viewport (320px),In Checkout,"1. Select CA address
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,CA Address,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_CHKT_282,Checkout Module,Tax Calculation,Verify tax by region - Simulate page refresh during action,In Checkout,"1. Select CA address
- Hit F5 mid-process",State is recovered or fails safely,Pending,CA Address,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_CHKT_283,Checkout Module,Guest Checkout,Verify checkout without login,Not logged in,"1. Add to cart
2. Checkout","Prompted for guest email, proceeds",Pending,Guest Email,High,Critical,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_CHKT_284,Checkout Module,Guest Checkout,Verify checkout without login - Test max allowed string length,Not logged in,"1. Add to cart
2. Checkout
- Input string of 255 chars",System handles limit gracefully,Pending,Guest Email,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_CHKT_285,Checkout Module,Guest Checkout,Verify checkout without login - Test empty required fields,Not logged in,"1. Add to cart
2. Checkout
- Submit without required data",Validation errors highlight fields,Pending,Guest Email,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_CHKT_286,Checkout Module,Guest Checkout,Verify checkout without login - Test on Firefox,Not logged in,"1. Add to cart
2. Checkout
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,Guest Email,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_CHKT_287,Checkout Module,Guest Checkout,Verify checkout without login - Test on small viewport (320px),Not logged in,"1. Add to cart
2. Checkout
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,Guest Email,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_CHKT_288,Checkout Module,Guest Checkout,Verify checkout without login - Simulate page refresh during action,Not logged in,"1. Add to cart
2. Checkout
- Hit F5 mid-process",State is recovered or fails safely,Pending,Guest Email,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_PAY_289,Payment Gateway,Credit Card,Verify successful CC payment,In Payment Step,"1. Enter valid CC
2. Pay",Order placed successfully,Pending,Test CC details,High,Critical,Integration,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_PAY_290,Payment Gateway,Credit Card,Verify successful CC payment - Test max allowed string length,In Payment Step,"1. Enter valid CC
2. Pay
- Input string of 255 chars",System handles limit gracefully,Pending,Test CC details,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_PAY_291,Payment Gateway,Credit Card,Verify successful CC payment - Test empty required fields,In Payment Step,"1. Enter valid CC
2. Pay
- Submit without required data",Validation errors highlight fields,Pending,Test CC details,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_PAY_292,Payment Gateway,Credit Card,Verify successful CC payment - Test on Firefox,In Payment Step,"1. Enter valid CC
2. Pay
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,Test CC details,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_PAY_293,Payment Gateway,Credit Card,Verify successful CC payment - Test on small viewport (320px),In Payment Step,"1. Enter valid CC
2. Pay
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,Test CC details,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_PAY_294,Payment Gateway,Credit Card,Verify successful CC payment - Simulate page refresh during action,In Payment Step,"1. Enter valid CC
2. Pay
- Hit F5 mid-process",State is recovered or fails safely,Pending,Test CC details,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_PAY_295,Payment Gateway,Credit Card,Verify declined CC payment,In Payment Step,1. Enter declined test CC,"Payment failed, retry prompt",Pending,Declined CC,High,Critical,Integration,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_PAY_296,Payment Gateway,Credit Card,Verify declined CC payment - Test max allowed string length,In Payment Step,"1. Enter declined test CC
- Input string of 255 chars",System handles limit gracefully,Pending,Declined CC,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_PAY_297,Payment Gateway,Credit Card,Verify declined CC payment - Test empty required fields,In Payment Step,"1. Enter declined test CC
- Submit without required data",Validation errors highlight fields,Pending,Declined CC,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_PAY_298,Payment Gateway,Credit Card,Verify declined CC payment - Test on Firefox,In Payment Step,"1. Enter declined test CC
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,Declined CC,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_PAY_299,Payment Gateway,Credit Card,Verify declined CC payment - Test on small viewport (320px),In Payment Step,"1. Enter declined test CC
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,Declined CC,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_PAY_300,Payment Gateway,Credit Card,Verify declined CC payment - Simulate page refresh during action,In Payment Step,"1. Enter declined test CC
- Hit F5 mid-process",State is recovered or fails safely,Pending,Declined CC,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_PAY_301,Payment Gateway,UPI,Verify UPI intent flow,In Payment Step (Mobile),"1. Select UPI
2. Pay",UPI apps list opens,Pending,UPI VPA,High,Major,Integration,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_PAY_302,Payment Gateway,UPI,Verify UPI intent flow - Test max allowed string length,In Payment Step (Mobile),"1. Select UPI
2. Pay
- Input string of 255 chars",System handles limit gracefully,Pending,UPI VPA,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_PAY_303,Payment Gateway,UPI,Verify UPI intent flow - Test empty required fields,In Payment Step (Mobile),"1. Select UPI
2. Pay
- Submit without required data",Validation errors highlight fields,Pending,UPI VPA,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_PAY_304,Payment Gateway,UPI,Verify UPI intent flow - Test on Firefox,In Payment Step (Mobile),"1. Select UPI
2. Pay
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,UPI VPA,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_PAY_305,Payment Gateway,UPI,Verify UPI intent flow - Test on small viewport (320px),In Payment Step (Mobile),"1. Select UPI
2. Pay
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,UPI VPA,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_PAY_306,Payment Gateway,UPI,Verify UPI intent flow - Simulate page refresh during action,In Payment Step (Mobile),"1. Select UPI
2. Pay
- Hit F5 mid-process",State is recovered or fails safely,Pending,UPI VPA,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_PAY_307,Payment Gateway,COD,Verify Cash on Delivery,In Payment Step,"1. Select COD
2. Place Order",Order placed with COD status,Pending,N/A,High,Critical,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_PAY_308,Payment Gateway,COD,Verify Cash on Delivery - Test max allowed string length,In Payment Step,"1. Select COD
2. Place Order
- Input string of 255 chars",System handles limit gracefully,Pending,N/A,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_PAY_309,Payment Gateway,COD,Verify Cash on Delivery - Test empty required fields,In Payment Step,"1. Select COD
2. Place Order
- Submit without required data",Validation errors highlight fields,Pending,N/A,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_PAY_310,Payment Gateway,COD,Verify Cash on Delivery - Test on Firefox,In Payment Step,"1. Select COD
2. Place Order
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,N/A,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_PAY_311,Payment Gateway,COD,Verify Cash on Delivery - Test on small viewport (320px),In Payment Step,"1. Select COD
2. Place Order
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,N/A,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_PAY_312,Payment Gateway,COD,Verify Cash on Delivery - Simulate page refresh during action,In Payment Step,"1. Select COD
2. Place Order
- Hit F5 mid-process",State is recovered or fails safely,Pending,N/A,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_PAY_313,Payment Gateway,Duplicate Prevent,Verify double click block,In Payment Step,1. Click Pay rapidly 3 times,Only one transaction processed,Pending,N/A,High,Critical,Performance/UI,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_PAY_314,Payment Gateway,Duplicate Prevent,Verify double click block - Test max allowed string length,In Payment Step,"1. Click Pay rapidly 3 times
- Input string of 255 chars",System handles limit gracefully,Pending,N/A,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_PAY_315,Payment Gateway,Duplicate Prevent,Verify double click block - Test empty required fields,In Payment Step,"1. Click Pay rapidly 3 times
- Submit without required data",Validation errors highlight fields,Pending,N/A,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_PAY_316,Payment Gateway,Duplicate Prevent,Verify double click block - Test on Firefox,In Payment Step,"1. Click Pay rapidly 3 times
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,N/A,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_PAY_317,Payment Gateway,Duplicate Prevent,Verify double click block - Test on small viewport (320px),In Payment Step,"1. Click Pay rapidly 3 times
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,N/A,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_PAY_318,Payment Gateway,Duplicate Prevent,Verify double click block - Simulate page refresh during action,In Payment Step,"1. Click Pay rapidly 3 times
- Hit F5 mid-process",State is recovered or fails safely,Pending,N/A,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_ORD_319,Order Management,Order Placement,Verify order confirmation email,Order Placed,1. Check email inbox,Confirmation email received,Pending,Email account,High,Major,Integration,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_ORD_320,Order Management,Order Placement,Verify order confirmation email - Test max allowed string length,Order Placed,"1. Check email inbox
- Input string of 255 chars",System handles limit gracefully,Pending,Email account,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_ORD_321,Order Management,Order Placement,Verify order confirmation email - Test empty required fields,Order Placed,"1. Check email inbox
- Submit without required data",Validation errors highlight fields,Pending,Email account,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_ORD_322,Order Management,Order Placement,Verify order confirmation email - Test on Firefox,Order Placed,"1. Check email inbox
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,Email account,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_ORD_323,Order Management,Order Placement,Verify order confirmation email - Test on small viewport (320px),Order Placed,"1. Check email inbox
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,Email account,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_ORD_324,Order Management,Order Placement,Verify order confirmation email - Simulate page refresh during action,Order Placed,"1. Check email inbox
- Hit F5 mid-process",State is recovered or fails safely,Pending,Email account,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_ORD_325,Order Management,Order Tracking,Verify tracking status,Order Dispatched,"1. Go to My Orders
2. Click Track",Tracking timeline shown,Pending,Dispatched Order,Medium,Major,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_ORD_326,Order Management,Order Tracking,Verify tracking status - Test max allowed string length,Order Dispatched,"1. Go to My Orders
2. Click Track
- Input string of 255 chars",System handles limit gracefully,Pending,Dispatched Order,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_ORD_327,Order Management,Order Tracking,Verify tracking status - Test empty required fields,Order Dispatched,"1. Go to My Orders
2. Click Track
- Submit without required data",Validation errors highlight fields,Pending,Dispatched Order,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_ORD_328,Order Management,Order Tracking,Verify tracking status - Test on Firefox,Order Dispatched,"1. Go to My Orders
2. Click Track
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,Dispatched Order,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_ORD_329,Order Management,Order Tracking,Verify tracking status - Test on small viewport (320px),Order Dispatched,"1. Go to My Orders
2. Click Track
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,Dispatched Order,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_ORD_330,Order Management,Order Tracking,Verify tracking status - Simulate page refresh during action,Order Dispatched,"1. Go to My Orders
2. Click Track
- Hit F5 mid-process",State is recovered or fails safely,Pending,Dispatched Order,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_ORD_331,Order Management,Order Cancellation,Verify cancel before ship,Order Processing,"1. Click Cancel
2. Confirm","Order cancelled, refund initiated",Pending,Unshipped Order,High,Critical,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_ORD_332,Order Management,Order Cancellation,Verify cancel before ship - Test max allowed string length,Order Processing,"1. Click Cancel
2. Confirm
- Input string of 255 chars",System handles limit gracefully,Pending,Unshipped Order,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_ORD_333,Order Management,Order Cancellation,Verify cancel before ship - Test empty required fields,Order Processing,"1. Click Cancel
2. Confirm
- Submit without required data",Validation errors highlight fields,Pending,Unshipped Order,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
TC_ORD_334,Order Management,Order Cancellation,Verify cancel before ship - Test on Firefox,Order Processing,"1. Click Cancel
2. Confirm
- Perform action on Firefox browser",UI functions identically to Chrome,Pending,Unshipped Order,Medium,Minor,Cross-Browser,Unexecuted,Varies,Cross-Browser Variation
TC_ORD_335,Order Management,Order Cancellation,Verify cancel before ship - Test on small viewport (320px),Order Processing,"1. Click Cancel
2. Confirm
- Resize window to 320px and perform action",UI adjusts without overflow,Pending,Unshipped Order,Medium,Minor,Mobile,Unexecuted,Varies,Mobile Variation
TC_ORD_336,Order Management,Order Cancellation,Verify cancel before ship - Simulate page refresh during action,Order Processing,"1. Click Cancel
2. Confirm
- Hit F5 mid-process",State is recovered or fails safely,Pending,Unshipped Order,Medium,Minor,Interrupt,Unexecuted,Varies,Interrupt Variation
TC_ORD_337,Order Management,Invoice,Verify invoice PDF download,Order Delivered,1. Click Download Invoice,PDF downloads with correct math,Pending,Delivered Order,Medium,Minor,Functional,Unexecuted,"Chrome, Safari, iOS, Android",Standard Case
TC_ORD_338,Order Management,Invoice,Verify invoice PDF download - Test max allowed string length,Order Delivered,"1. Click Download Invoice
- Input string of 255 chars",System handles limit gracefully,Pending,Delivered Order,Medium,Minor,Boundary,Unexecuted,Varies,Boundary Variation
TC_ORD_339,Order Management,Invoice,Verify invoice PDF download - Test empty required fields,Order Delivered,"1. Click Download Invoice
- Submit without required data",Validation errors highlight fields,Pending,Delivered Order,Medium,Minor,Negative,Unexecuted,Varies,Negative Variation
